Datetime,division,val
2021-07-10 오전 12:00:46,U0_A,29.3
2021-07-10 오전 12:00:46,U0_B,28.9
2021-07-10 오전 12:00:46,U1_A,22.8
2021-07-10 오전 12:00:46,U1_B,22.8
2021-07-10 오전 12:00:46,U2_A,22.8
2021-07-10 오전 12:00:46,U2_B,22.8
2021-07-10 오전 12:00:46,U3_A,26.6
2021-07-10 오전 12:00:46,U3_B,25.8
2021-07-10 오전 12:00:46,U4_A,26.0
2021-07-10 오전 12:00:46,U4_B,25.5
2021-07-10 오전 12:00:46,U5_A,28.1
2021-07-10 오전 12:00:46,U5_B,27.5
2021-07-10 오전 12:00:46,U6_A,31.3
2021-07-10 오전 12:00:46,U6_B,28.2
2021-07-10 오전 12:00:46,U7_A,27.7
2021-07-10 오전 12:00:46,U7_B,26.6
2021-07-10 오전 12:00:46,U8_A,30.1
2021-07-10 오전 12:00:46,U8_B,28.2
2021-07-10 오전 12:00:46,U9_A,29.9
2021-07-10 오전 12:00:46,U9_B,28.1
2021-07-10 오전 12:00:46,U10_A,29.9
2021-07-10 오전 12:00:46,U10_B,27.7
2021-07-10 오전 12:00:46,U11_A,28.9
2021-07-10 오전 12:00:46,U11_B,28.0
2021-07-10 오전 12:03:37,U0_A,29.2
2021-07-10 오전 12:03:37,U0_B,28.9
2021-07-10 오전 12:03:37,U1_A,22.8
2021-07-10 오전 12:03:37,U1_B,22.8
2021-07-10 오전 12:03:37,U2_A,22.8
2021-07-10 오전 12:03:37,U2_B,22.8
2021-07-10 오전 12:03:37,U3_A,26.6
2021-07-10 오전 12:03:37,U3_B,25.8
2021-07-10 오전 12:03:37,U4_A,26.0
2021-07-10 오전 12:03:37,U4_B,25.5
2021-07-10 오전 12:03:37,U5_A,28.1
2021-07-10 오전 12:03:37,U5_B,27.5
2021-07-10 오전 12:03:37,U6_A,31.3
2021-07-10 오전 12:03:37,U6_B,28.3
2021-07-10 오전 12:03:37,U7_A,27.7
2021-07-10 오전 12:03:37,U7_B,26.6
2021-07-10 오전 12:03:37,U8_A,30.1
2021-07-10 오전 12:03:37,U8_B,28.2
2021-07-10 오전 12:03:37,U9_A,29.9
2021-07-10 오전 12:03:37,U9_B,28.1
2021-07-10 오전 12:03:37,U10_A,29.9
2021-07-10 오전 12:03:37,U10_B,27.8
2021-07-10 오전 12:03:37,U11_A,28.9
2021-07-10 오전 12:03:37,U11_B,27.9
2021-07-10 오전 12:05:40,U0_A,29.3
2021-07-10 오전 12:05:40,U0_B,28.9
2021-07-10 오전 12:05:40,U1_A,22.8
2021-07-10 오전 12:05:40,U1_B,22.8
2021-07-10 오전 12:05:40,U2_A,22.8
2021-07-10 오전 12:05:40,U2_B,22.8
2021-07-10 오전 12:05:40,U3_A,26.6
2021-07-10 오전 12:05:40,U3_B,25.8
2021-07-10 오전 12:05:40,U4_A,26.0
2021-07-10 오전 12:05:40,U4_B,25.5
2021-07-10 오전 12:05:40,U5_A,28.1
2021-07-10 오전 12:05:40,U5_B,27.5
2021-07-10 오전 12:05:40,U6_A,31.2
2021-07-10 오전 12:05:40,U6_B,28.2
2021-07-10 오전 12:05:40,U7_A,27.7
2021-07-10 오전 12:05:40,U7_B,26.6
2021-07-10 오전 12:05:40,U8_A,30.1
2021-07-10 오전 12:05:40,U8_B,28.2
2021-07-10 오전 12:05:40,U9_A,29.9
2021-07-10 오전 12:05:40,U9_B,28.1
2021-07-10 오전 12:05:40,U10_A,29.9
2021-07-10 오전 12:05:40,U10_B,27.8
2021-07-10 오전 12:05:40,U11_A,28.9
2021-07-10 오전 12:05:40,U11_B,27.9
2021-07-10 오전 12:07:30,U0_A,29.3
2021-07-10 오전 12:07:30,U0_B,28.9
2021-07-10 오전 12:07:30,U1_A,22.8
2021-07-10 오전 12:07:30,U1_B,22.8
2021-07-10 오전 12:07:30,U2_A,22.8
2021-07-10 오전 12:07:30,U2_B,22.8
2021-07-10 오전 12:07:30,U3_A,26.6
2021-07-10 오전 12:07:30,U3_B,25.8
2021-07-10 오전 12:07:30,U4_A,26.0
2021-07-10 오전 12:07:30,U4_B,25.5
2021-07-10 오전 12:07:30,U5_A,28.1
2021-07-10 오전 12:07:30,U5_B,27.5
2021-07-10 오전 12:07:30,U6_A,31.2
2021-07-10 오전 12:07:30,U6_B,28.2
2021-07-10 오전 12:07:30,U7_A,27.6
2021-07-10 오전 12:07:30,U7_B,26.6
2021-07-10 오전 12:07:30,U8_A,30.1
2021-07-10 오전 12:07:30,U8_B,28.1
2021-07-10 오전 12:07:30,U9_A,30.0
2021-07-10 오전 12:07:30,U9_B,28.1
2021-07-10 오전 12:07:30,U10_A,29.9
2021-07-10 오전 12:07:30,U10_B,27.8
2021-07-10 오전 12:07:30,U11_A,29.0
2021-07-10 오전 12:07:30,U11_B,28.0
2021-07-10 오전 12:09:31,U0_A,29.3
2021-07-10 오전 12:09:31,U0_B,28.9
2021-07-10 오전 12:09:31,U1_A,22.8
2021-07-10 오전 12:09:31,U1_B,22.8
2021-07-10 오전 12:09:31,U2_A,22.8
2021-07-10 오전 12:09:31,U2_B,22.8
2021-07-10 오전 12:09:31,U3_A,26.6
2021-07-10 오전 12:09:31,U3_B,25.8
2021-07-10 오전 12:09:31,U4_A,26.0
2021-07-10 오전 12:09:31,U4_B,25.5
2021-07-10 오전 12:09:31,U5_A,28.1
2021-07-10 오전 12:09:31,U5_B,27.5
2021-07-10 오전 12:09:31,U6_A,31.2
2021-07-10 오전 12:09:31,U6_B,28.2
2021-07-10 오전 12:09:31,U7_A,27.7
2021-07-10 오전 12:09:31,U7_B,26.6
2021-07-10 오전 12:09:31,U8_A,30.1
2021-07-10 오전 12:09:31,U8_B,28.2
2021-07-10 오전 12:09:31,U9_A,30.0
2021-07-10 오전 12:09:31,U9_B,28.1
2021-07-10 오전 12:09:31,U10_A,29.9
2021-07-10 오전 12:09:31,U10_B,27.8
2021-07-10 오전 12:09:31,U11_A,29.0
2021-07-10 오전 12:09:31,U11_B,27.9
2021-07-10 오전 12:11:26,U0_A,29.3
2021-07-10 오전 12:11:26,U0_B,28.9
2021-07-10 오전 12:11:26,U1_A,22.8
2021-07-10 오전 12:11:26,U1_B,22.8
2021-07-10 오전 12:11:26,U2_A,22.8
2021-07-10 오전 12:11:26,U2_B,22.8
2021-07-10 오전 12:11:26,U3_A,26.6
2021-07-10 오전 12:11:26,U3_B,25.8
2021-07-10 오전 12:11:26,U4_A,26.0
2021-07-10 오전 12:11:26,U4_B,25.5
2021-07-10 오전 12:11:26,U5_A,28.1
2021-07-10 오전 12:11:26,U5_B,27.5
2021-07-10 오전 12:11:26,U6_A,31.2
2021-07-10 오전 12:11:26,U6_B,28.3
2021-07-10 오전 12:11:26,U7_A,27.7
2021-07-10 오전 12:11:26,U7_B,26.6
2021-07-10 오전 12:11:26,U8_A,30.1
2021-07-10 오전 12:11:26,U8_B,28.2
